,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_13 cp_5,inv_14 cp_5,inv_15 cp_5,inv_16 cp_5,inv_17 cp_5,inv_18 cp_5,inv_19 cp_5,inv_20 cp_5,inv_21 cp_5,inv_22 cp_5,inv_23 cp_5,inv_24 cp_5,inv_25 cp_5,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_13 cp_6,inv_14 cp_6,inv_15 cp_6,inv_16 cp_6,inv_17 cp_6,inv_18 cp_6,inv_19 cp_6,inv_20 cp_6,inv_21 cp_6,inv_22 cp_6,inv_23 cp_6,inv_24 cp_6,inv_25 cp_6,inv_26 cp_6,inv_27 cp_6,inv_28 cp_6,inv_29 cp_6,inv_30 cp_6,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_15 cp_7,inv_16 cp_7,inv_17 cp_7,inv_18 cp_7,inv_19 cp_7,inv_20 cp_7,inv_21 cp_7,inv_22 cp_7,inv_23 cp_7,inv_24 cp_7,inv_25 cp_7,inv_26 cp_7,inv_27 cp_7,inv_28 cp_7,inv_29 cp_7,inv_30 cp_7,inv_31 cp_7,inv_32 cp_7,inv_33 cp_7,inv_34 cp_7,inv_35 cp_7,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_17 cp_8,inv_18 cp_8,inv_19 cp_8,inv_20 cp_8,inv_21 cp_8,inv_22 cp_8,inv_23 cp_8,inv_24 cp_8,inv_25 cp_8,inv_26 cp_8,inv_27 cp_8,inv_28 cp_8,inv_29 cp_8,inv_30 cp_8,inv_31 cp_8,inv_32 cp_8,inv_33 cp_8,inv_34 cp_8,inv_35 cp_8,inv_36 cp_8,inv_37 cp_8,inv_38 cp_8,inv_39 cp_8,inv_40 cp_8
0,36.0,36.0,43.0,42.0,41.0,43.0,42.0,49.0,45.0,42.0,53.0,49.0,50.0,49.0,50.0,50.0,49.0,46.0,49.0,48.0,45.0,45.0,46.0,49.0,50.0,52.0,52.0,57.0,44.0,46.0,54.0,50.0,58.0,58.0,58.0,53.0,60.0,60.0,49.0,62.0,58.0,61.0,60.0,48.0,47.0,50.0,52.0,54.0,55.0,55.0,53.0,61.0,64.0,65.0,54.0,65.0,64,65.0,65.0,64.0,65,64.0,65,65.0,65,65,65,65,65,65,65,65,61.0,58.0,63.0,57.0,63.0,60.0,63.0,64,65.0,63.0,65,65.0,65,65,64,64,64,63,64,64,65,61,64,64,64,65,62,64,63,65,65,64
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,57.0,,62.0,,56.0,64.0,,,,,,,,,58.0,59.0,58.0,,63.0,62,64.0,61.0,63.0,63,63.0,63,64.0,63,64,65,65,65,64,63,64,61.0,,64.0,,56.0,61.0,63.0,64,60.0,64.0,62,64.0,65,64,64,64,64,65,65,65,62,65,65,64,65,63,65,64,65,62,63,65
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,62.0,,,51.0,,,,,,,,,,57.0,,,61.0,59,60.0,64.0,64.0,65,62.0,64,65.0,65,64,65,63,61,62,65,65,62.0,,61.0,,,64.0,63.0,65,63.0,59.0,64,63.0,63,65,63,64,65,64,65,65,64,65,65,64,64,64,65,64,64,61,65,65
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,63.0,,,,,,,,,,,,,,,,54.0,61,63.0,63.0,64.0,63,64.0,64,65.0,64,63,65,65,63,64,64,64,61.0,,65.0,,,56.0,65.0,61,64.0,64.0,65,64.0,65,64,63,65,65,65,64,65,63,65,64,64,65,64,65,65,61,64,64,65
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,64.0,,,,,,,,,,,,,,,,,65,63.0,65.0,62.0,65,64.0,65,64.0,65,64,64,63,64,64,65,65,54.0,,58.0,,,,60.0,64,62.0,63.0,61,65.0,64,62,64,64,63,65,65,64,64,64,65,65,63,64,64,65,61,60,64,65
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,64.0,,,,,,,,,,,,,,,,,62,64.0,62.0,64.0,64,65.0,64,62.0,63,65,64,63,64,63,65,65,,,,,,,64.0,64,64.0,63.0,63,63.0,64,64,63,65,63,64,64,63,62,65,65,64,64,64,64,65,65,64,64,63
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,65,62.0,61.0,63.0,65,65.0,65,65.0,65,65,65,64,65,65,65,63,,,,,,,64.0,63,65.0,62.0,64,63.0,63,65,65,65,65,65,63,65,64,64,64,63,65,62,65,65,64,64,65,64
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65.0,63.0,64.0,65,64.0,64,65.0,64,65,65,64,62,64,63,64,,,,,,,61.0,65,65.0,64.0,64,65.0,65,65,64,65,63,65,59,64,64,65,64,63,63,64,64,64,62,65,63,64
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65.0,60.0,64.0,64,65.0,65,64.0,65,64,64,65,65,64,64,63,,,,,,,63.0,65,65.0,64.0,64,65.0,63,64,62,65,63,63,65,64,62,64,64,65,64,65,65,63,64,63,62,63
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.0,65.0,63.0,64,65.0,64,65.0,62,64,64,64,64,65,64,62,,,,,,,64.0,62,65.0,64.0,65,65.0,63,65,64,64,64,64,64,63,63,65,65,65,65,64,65,65,64,64,65,65
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.0,64.0,64.0,64,64.0,63,64.0,64,64,63,64,65,64,63,64,,,,,,,64.0,63,65.0,56.0,65,64.0,64,65,65,63,62,63,64,62,65,62,64,64,65,64,63,65,64,64,64,65
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,58.0,64.0,64.0,65,65.0,64,63.0,63,64,65,62,64,64,63,65,,,,,,,65.0,65,63.0,,64,63.0,65,65,62,65,65,64,63,64,63,64,63,65,64,64,64,64,65,64,62,65
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,61.0,63.0,65,64.0,63,65.0,64,62,63,64,64,64,65,65,,,,,,,58.0,64,64.0,,65,65.0,59,64,64,64,65,65,65,64,64,63,64,64,64,65,65,65,65,63,64,63
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,65.0,65.0,65,65.0,64,64.0,64,62,65,65,63,64,63,64,,,,,,,,65,65.0,,65,64.0,64,65,63,63,65,65,63,65,65,65,64,63,64,62,63,65,65,65,64,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,65.0,65.0,64,65.0,65,65.0,65,65,62,65,64,65,65,65,,,,,,,,63,52.0,,64,65.0,64,64,65,64,65,64,65,65,64,65,63,65,62,63,64,65,65,63,64,65
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,64.0,52.0,64,64.0,65,65.0,65,63,65,62,62,62,63,65,,,,,,,,64,,,60,63.0,64,63,63,64,62,62,65,61,64,63,62,63,64,65,65,64,64,65,64,65
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,65.0,,60,63.0,64,62.0,65,64,64,64,64,64,65,65,,,,,,,,61,,,65,64.0,64,62,63,65,64,63,65,65,63,65,65,65,62,65,65,64,65,65,60,65
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,65.0,,65,58.0,64,56.0,65,63,65,64,64,65,65,65,,,,,,,,65,,,62,63.0,65,64,63,62,64,64,63,65,65,63,64,64,64,63,65,64,64,62,63,64
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,65.0,,64,,64,,65,64,64,65,65,61,65,65,,,,,,,,64,,,65,63.0,64,62,59,64,65,65,65,65,63,63,65,62,65,65,64,63,63,65,65,65
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,65.0,,63,,63,,65,64,65,65,62,63,63,63,,,,,,,,65,,,65,64.0,65,63,63,65,63,65,65,63,63,64,65,64,64,64,65,65,64,64,64,63
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,65.0,,63,,65,,64,64,65,64,65,64,65,65,,,,,,,,63,,,64,64.0,64,63,63,65,63,63,65,65,63,60,63,65,64,64,65,64,65,65,65,63
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,58.0,,63,,65,,64,63,65,65,65,63,63,65,,,,,,,,64,,,65,61.0,62,63,65,65,64,64,65,65,65,63,63,64,65,65,65,65,65,63,65,63
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,62,,63,,64,65,65,65,63,64,63,65,,,,,,,,64,,,63,63.0,65,64,64,65,65,65,61,65,64,62,65,65,65,65,65,64,64,64,65,65
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,64,,64,,65,65,63,60,64,65,65,64,,,,,,,,61,,,63,56.0,62,64,65,61,65,64,65,64,65,63,65,64,64,64,65,64,65,64,65,65
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,64,,64,,64,65,64,64,64,65,64,64,,,,,,,,64,,,63,,64,65,64,64,63,63,63,63,64,65,64,65,64,63,61,64,63,65,63,64
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,65,,65,,63,64,63,64,65,65,63,65,,,,,,,,63,,,65,,64,65,65,64,65,64,63,64,64,63,65,64,65,63,65,64,64,63,63,64
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,65,,65,,65,64,64,64,65,65,63,65,,,,,,,,61,,,62,,63,65,64,65,65,65,65,63,64,64,65,64,65,65,64,65,65,64,63,64
